accession,description,length,masked Ns,masked Ns %,vsl-25 Ns,vsl-25 Ns %,masked vsl-25 Ns,masked vsl-25 Ns %,c1-25 Ns,c1-25 Ns %,masked c1-25 Ns,masked c1-25 Ns %,c2-25 Ns,c2-25 Ns %,masked c2-25 Ns,masked c2-25 Ns %,c3-25 Ns,c3-25 Ns %,masked c3-25 Ns,masked c3-25 Ns %,c4-25 Ns,c4-25 Ns %,masked c4-25 Ns,masked c4-25 Ns %,c5-25 Ns,c5-25 Ns %,masked c5-25 Ns,masked c5-25 Ns %,c6-25 Ns,c6-25 Ns %,masked c6-25 Ns,masked c6-25 Ns %,c7-25 Ns,c7-25 Ns %,masked c7-25 Ns,masked c7-25 Ns %,c8-25 Ns,c8-25 Ns %,masked c8-25 Ns,masked c8-25 Ns %,c9-25 Ns,c9-25 Ns %,masked c9-25 Ns,masked c9-25 Ns %,c10-25 Ns,c10-25 Ns %,masked c10-25 Ns,masked c10-25 Ns %,c11-25 Ns,c11-25 Ns %,masked c11-25 Ns,masked c11-25 Ns %,c12-25 Ns,c12-25 Ns %,masked c12-25 Ns,masked c12-25 Ns %
NC_019023.1,Human papillomavirus type 166 isolate KC9  complete genome,7212,0,0,0,0,0,0,98,1.35,0,0,49,.67,0,0,49,.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,1.70,0,0
NC_019417.1,Salmonella phage SPN19  complete genome,59203,257,.43,0,0,257,.43,147,.24,404,.68,98,.16,355,.59,98,.16,355,.59,0,0,257,.43,0,0,257,.43,0,0,257,.43,0,0,257,.43,147,.24,404,.68,0,0,257,.43,0,0,257,.43,0,0,257,.43,221,.37,478,.80
NC_019488.1,Salmonella phage RE-2010  complete genome,34117,97,.28,0,0,97,.28,172,.50,269,.78,147,.43,244,.71,147,.43,244,.71,0,0,97,.28,0,0,97,.28,0,0,97,.28,0,0,97,.28,172,.50,269,.78,0,0,97,.28,0,0,97,.28,0,0,97,.28,245,.71,342,1.00
NC_019530.1,Salmonella phage PhiSH19  complete genome,157785,383,.24,0,0,383,.24,1399,.88,1782,1.12,614,.38,997,.63,589,.37,972,.61,0,0,383,.24,0,0,383,.24,0,0,383,.24,0,0,383,.24,1473,.93,1856,1.17,0,0,383,.24,0,0,383,.24,0,0,383,.24,1030,.65,1413,.89
NC_019539.1,Salmonella phage vB SenS-Ent1 complete genome,42391,0,0,0,0,0,0,368,.86,0,0,221,.52,0,0,270,.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,.46,0,0
NC_019545.1,Salmonella phage SPN3UB  complete genome,47355,0,0,0,0,0,0,246,.51,0,0,147,.31,0,0,172,.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,.25,0,0
NC_019843.3,Middle East respiratory syndrome-related coronavirus isolate HCoV-EMC 2012  complete genome,30119,36,.11,0,0,36,.11,98,.32,134,.44,49,.16,85,.28,98,.32,134,.44,0,0,36,.11,0,0,36,.11,0,0,36,.11,0,0,36,.11,147,.48,183,.60,0,0,36,.11,0,0,36,.11,0,0,36,.11,392,1.30,428,1.42
NC_019910.1,Salmonella phage SKML-39  complete genome,159624,299,.18,0,0,299,.18,1079,.67,1378,.86,491,.30,790,.49,589,.36,888,.55,0,0,299,.18,0,0,299,.18,0,0,299,.18,0,0,299,.18,1030,.64,1329,.83,0,0,299,.18,0,0,299,.18,0,0,299,.18,1054,.66,1353,.84
NC_019917.1,Burkholderia phage BcepMigl  complete genome,62952,571,.90,0,0,571,.90,147,.23,718,1.14,147,.23,718,1.14,147,.23,718,1.14,0,0,571,.90,0,0,571,.90,0,0,571,.90,49,.07,620,.98,172,.27,743,1.18,0,0,571,.90,0,0,571,.90,0,0,571,.90,491,.77,1062,1.68
NC_020416.1,Salmonella phage S16  complete genome,160221,435,.27,98,.06,533,.33,4124,2.57,4461,2.78,1325,.82,1760,1.09,1177,.73,1612,1.00,0,0,435,.27,98,.06,533,.33,0,0,435,.27,49,.03,484,.30,4100,2.55,4437,2.76,0,0,435,.27,98,.06,533,.33,98,.06,533,.33,2110,1.31,2545,1.58
NC_020881.1,Long-fingered bat hepatitis B virus isolate 776  complete genome,3230,0,0,0,0,0,0,49,1.51,0,0,49,1.51,0,0,49,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_021317.1,Salmonella phage L13  complete genome,21248,0,0,0,0,0,0,147,.69,0,0,98,.46,0,0,98,.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.23,0,0
NC_021343.1,Burkholderia phage ST79  complete genome,35430,238,.67,0,0,238,.67,0,0,238,.67,0,0,238,.67,0,0,238,.67,0,0,238,.67,0,0,238,.67,0,0,238,.67,0,0,238,.67,0,0,238,.67,0,0,238,.67,0,0,238,.67,0,0,238,.67,196,.55,434,1.22
NC_021483.1,Human papillomavirus type 154 isolate PV77  complete genome,7286,0,0,0,0,0,0,74,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2.01,0,0
NC_021772.1,Salmonella phage FSL SP-058  complete genome,72394,313,.43,0,0,313,.43,982,1.35,1295,1.78,466,.64,779,1.07,418,.57,731,1.00,0,0,313,.43,0,0,313,.43,0,0,313,.43,0,0,313,.43,982,1.35,1295,1.78,0,0,313,.43,0,0,313,.43,0,0,313,.43,392,.54,705,.97
NC_021774.1,Salmonella phage FSL SP-004  complete genome,29742,0,0,0,0,0,0,123,.41,0,0,74,.24,0,0,49,.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,1.15,0,0
NC_021775.1,Salmonella phage FSL SP-031  complete genome,42215,54,.12,0,0,54,.12,196,.46,250,.59,147,.34,201,.47,147,.34,201,.47,0,0,54,.12,0,0,54,.12,0,0,54,.12,0,0,54,.12,196,.46,250,.59,0,0,54,.12,0,0,54,.12,0,0,54,.12,294,.69,348,.82
NC_021777.1,Salmonella phage Jersey  complete genome,43447,0,0,0,0,0,0,294,.67,0,0,245,.56,0,0,245,.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,.22,0,0,294,.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,.45,0,0
NC_021779.1,Salmonella phage FSL SP-030  complete genome,59746,96,.16,0,0,96,.16,49,.08,145,.24,49,.08,145,.24,0,0,96,.16,0,0,96,.16,0,0,96,.16,0,0,96,.16,0,0,96,.16,49,.08,145,.24,0,0,96,.16,0,0,96,.16,0,0,96,.16,98,.16,194,.32
NC_021780.1,Salmonella phage FSL SP-088  complete genome,59454,198,.33,0,0,198,.33,49,.08,247,.41,0,0,198,.33,0,0,198,.33,0,0,198,.33,0,0,198,.33,0,0,198,.33,0,0,198,.33,98,.16,296,.49,0,0,198,.33,0,0,198,.33,0,0,198,.33,417,.70,615,1.03
NC_021782.1,Salmonella phage FSL SP-076  complete genome,72098,448,.62,0,0,448,.62,833,1.15,1232,1.70,392,.54,840,1.16,392,.54,840,1.16,0,0,448,.62,0,0,448,.62,0,0,448,.62,0,0,448,.62,833,1.15,1232,1.70,0,0,448,.62,0,0,448,.62,0,0,448,.62,564,.78,963,1.33
NC_021783.1,Salmonella phage iEPS5  complete genome,59254,22,.03,0,0,22,.03,49,.08,71,.11,49,.08,71,.11,49,.08,71,.11,0,0,22,.03,0,0,22,.03,0,0,22,.03,0,0,22,.03,49,.08,71,.11,0,0,22,.03,0,0,22,.03,0,0,22,.03,245,.41,267,.45
NC_022103.1,Bat coronavirus CDPHE15 USA 2006  complete genome,28035,182,.64,0,0,182,.64,270,.96,452,1.61,196,.69,378,1.34,147,.52,329,1.17,0,0,182,.64,0,0,182,.64,0,0,182,.64,0,0,182,.64,270,.96,452,1.61,0,0,182,.64,0,0,182,.64,0,0,182,.64,343,1.22,427,1.52
NC_022233.1,Porcine cytomegalovirus strain BJ09  complete genome,128367,462,.35,295,.22,511,.39,2407,1.87,2569,2.00,761,.59,1050,.81,614,.47,903,.70,49,.03,462,.35,295,.22,511,.39,49,.03,462,.35,49,.03,462,.35,2333,1.81,2522,1.96,49,.03,462,.35,320,.24,511,.39,295,.22,511,.39,1054,.82,1467,1.14
NC_022752.1,Salmonella phage SETP13  complete genome,42665,32,.07,0,0,32,.07,245,.57,228,.53,147,.34,179,.41,98,.22,130,.30,0,0,32,.07,0,0,32,.07,0,0,32,.07,0,0,32,.07,245,.57,228,.53,0,0,32,.07,0,0,32,.07,0,0,32,.07,196,.45,228,.53
NC_022754.1,Salmonella phage SETP7  complete genome,42749,0,0,0,0,0,0,319,.74,0,0,221,.51,0,0,221,.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,.22,0,0
NC_022768.1,Salmonella phage Maynard  complete genome,154701,269,.17,0,0,269,.17,1571,1.01,1840,1.18,736,.47,1005,.64,589,.38,858,.55,0,0,269,.17,0,0,269,.17,0,0,269,.17,49,.03,318,.20,1571,1.01,1840,1.18,0,0,269,.17,0,0,269,.17,0,0,269,.17,980,.63,1249,.80
NC_022772.1,Salmonella phage Marshall  complete genome,156338,276,.17,0,0,276,.17,1495,.95,1771,1.13,735,.47,1011,.64,588,.37,864,.55,0,0,276,.17,0,0,276,.17,0,0,276,.17,98,.06,374,.23,1544,.98,1820,1.16,0,0,276,.17,0,0,276,.17,0,0,276,.17,933,.59,1256,.80
NC_022892.1,Human papillomavirus type 167 isolate KC10  complete genome,7228,0,0,0,0,0,0,147,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,1.70,0,0
NC_022916.1,Burkholderia phage JG068  complete genome,41604,200,.48,0,0,200,.48,123,.29,249,.59,123,.29,249,.59,123,.29,249,.59,0,0,200,.48,0,0,200,.48,0,0,200,.48,49,.11,249,.59,123,.29,249,.59,0,0,200,.48,0,0,200,.48,0,0,200,.48,49,.11,249,.59
NC_023608.1,Salmonella phage vB SenS-Ent2 complete genome,42093,0,0,0,0,0,0,418,.99,0,0,270,.64,0,0,270,.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,.46,0,0
NC_023760.1,Mink coronavirus strain WD1127  complete genome,28941,93,.32,123,.42,142,.49,859,2.96,878,3.03,294,1.01,338,1.16,343,1.18,387,1.33,49,.16,93,.32,123,.42,142,.49,49,.16,93,.32,49,.16,93,.32,957,3.30,976,3.37,49,.16,93,.32,123,.42,142,.49,123,.42,142,.49,540,1.86,584,2.01
NC_023856.1,Salmonella phage vB SalM SJ2  complete genome,152460,299,.19,0,0,299,.19,1397,.91,1696,1.11,588,.38,887,.58,441,.28,740,.48,0,0,299,.19,0,0,299,.19,0,0,299,.19,0,0,299,.19,1495,.98,1794,1.17,0,0,299,.19,0,0,299,.19,0,0,299,.19,907,.59,1206,.79
NC_023891.1,Human papillomavirus type 178  complete genome,7314,39,.53,49,.66,39,.53,172,2.35,137,1.87,0,0,39,.53,49,.66,88,1.20,0,0,39,.53,49,.66,39,.53,0,0,39,.53,0,0,39,.53,221,3.02,186,2.54,0,0,39,.53,74,1.01,39,.53,49,.66,39,.53,98,1.33,137,1.87
NC_024122.1,Salmonella phage vB SalM SJ3  complete genome,162910,257,.15,0,0,257,.15,1768,1.08,2025,1.24,735,.45,992,.60,539,.33,796,.48,0,0,257,.15,0,0,257,.15,0,0,257,.15,147,.09,404,.24,1768,1.08,2025,1.24,0,0,257,.15,0,0,257,.15,0,0,257,.15,1299,.79,1556,.95
NC_024204.1,Salmonella phage vB SenS-Ent3 complete genome,42764,0,0,0,0,0,0,417,.97,0,0,294,.68,0,0,245,.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,.46,0,0
NC_024443.1,Roundleaf bat hepatitis B virus isolate RBHBV GB09-256 Hip rub GAB 2009  complete genome,3368,0,0,0,0,0,0,49,1.45,0,0,49,1.45,0,0,49,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_024444.1,Horseshoe bat hepatitis B virus isolate HBHBV GB09-403 Rhi alc GAB 2009  complete genome,3377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_024445.1,Tent-making bat hepatitis B virus isolate TBHBV Pan372 Uro bil PAN 2010  complete genome,3149,0,0,0,0,0,0,49,1.55,0,0,0,0,0,0,49,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_025217.1,Bat Hp-betacoronavirus Zhejiang2013  complete genome,31491,132,.41,49,.15,181,.57,392,1.24,524,1.66,294,.93,426,1.35,343,1.08,475,1.50,49,.15,181,.57,49,.15,181,.57,0,0,132,.41,0,0,132,.41,392,1.24,524,1.66,0,0,132,.41,49,.15,181,.57,49,.15,181,.57,392,1.24,475,1.50
NC_025442.1,Salmonella phage Chi  complete genome,59578,259,.43,0,0,259,.43,0,0,259,.43,0,0,259,.43,0,0,259,.43,0,0,259,.43,0,0,259,.43,0,0,259,.43,0,0,259,.43,49,.08,308,.51,0,0,259,.43,0,0,259,.43,0,0,259,.43,245,.41,504,.84
NC_025443.1,Salmonella phage 9NA  complete genome,52869,348,.65,99,.18,348,.65,1058,2.00,1133,2.14,565,1.06,765,1.44,442,.83,667,1.26,49,.09,348,.65,99,.18,348,.65,0,0,348,.65,0,0,348,.65,1058,2.00,1133,2.14,0,0,348,.65,99,.18,348,.65,99,.18,348,.65,614,1.16,913,1.72
NC_026011.1,Betacoronavirus HKU24 strain HKU24-R05005I  complete genome,31249,47,.15,0,0,47,.15,417,1.33,415,1.32,245,.78,292,.93,270,.86,317,1.01,0,0,47,.15,0,0,47,.15,0,0,47,.15,0,0,47,.15,491,1.57,489,1.56,0,0,47,.15,0,0,47,.15,0,0,47,.15,417,1.33,464,1.48
NC_026017.1,Salmonella phage LSPA1  complete genome,41880,57,.13,0,0,57,.13,320,.76,377,.90,197,.47,254,.60,148,.35,205,.48,0,0,57,.13,0,0,57,.13,0,0,57,.13,0,0,57,.13,320,.76,377,.90,0,0,57,.13,0,0,57,.13,0,0,57,.13,98,.23,155,.37
NC_026607.2,Salmonella phage STP4-a  complete genome,159914,491,.30,147,.09,589,.36,3854,2.41,4222,2.64,1202,.75,1693,1.05,1030,.64,1472,.92,49,.03,540,.33,196,.12,638,.39,0,0,491,.30,49,.03,540,.33,3952,2.47,4320,2.70,0,0,491,.30,147,.09,589,.36,147,.09,589,.36,1274,.79,1765,1.10
NC_026946.1,Human papillomavirus KC5  complete genome,7143,0,0,0,0,0,0,98,1.37,0,0,98,1.37,0,0,98,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_027016.1,Papio ursinus cytomegalovirus isolate OCOM4-52  complete genome,226084,2203,.97,491,.21,2301,1.01,2356,1.04,3797,1.67,1030,.45,2742,1.21,882,.39,2742,1.21,98,.04,2203,.97,466,.20,2301,1.01,49,.02,2203,.97,49,.02,2203,.97,2185,.96,3650,1.61,0,0,2203,.97,466,.20,2301,1.01,491,.21,2301,1.01,2355,1.04,4117,1.82
NC_027119.1,Salmonella phage Det7  complete genome,157498,170,.10,0,0,170,.10,1645,1.04,1815,1.15,490,.31,660,.41,441,.28,611,.38,0,0,170,.10,0,0,170,.10,0,0,170,.10,49,.03,219,.13,1694,1.07,1864,1.18,0,0,170,.10,0,0,170,.10,0,0,170,.10,907,.57,1077,.68
NC_027297.1,Salmonella phage Stitch  complete genome,123475,963,.77,49,.03,1012,.81,1644,1.33,2459,1.99,588,.47,1502,1.21,392,.31,1355,1.09,49,.03,1012,.81,49,.03,1012,.81,0,0,963,.77,0,0,963,.77,1595,1.29,2508,2.03,0,0,963,.77,49,.03,1012,.81,49,.03,1012,.81,1128,.91,2091,1.69
NC_027329.1,Salmonella phage vB SPuM SP116  complete genome,87510,344,.39,98,.11,393,.44,1865,2.13,2160,2.46,711,.81,1055,1.20,662,.75,1006,1.14,0,0,344,.39,49,.05,393,.44,0,0,344,.39,49,.05,393,.44,2036,2.32,2282,2.60,0,0,344,.39,98,.11,393,.44,98,.11,393,.44,833,.95,1177,1.34
NC_027344.1,Salmonella phage STML-198  complete genome,158099,625,.39,49,.03,674,.42,4004,2.53,4506,2.85,1275,.80,1900,1.20,980,.61,1605,1.01,49,.03,674,.42,49,.03,674,.42,0,0,625,.39,49,.03,674,.42,4004,2.53,4555,2.88,0,0,625,.39,49,.03,674,.42,49,.03,674,.42,1323,.83,1948,1.23
NC_027351.1,Salmonella phage SSE-121  complete genome,147745,556,.37,0,0,556,.37,1350,.91,1857,1.25,344,.23,900,.60,393,.26,949,.64,0,0,556,.37,0,0,556,.37,0,0,556,.37,0,0,556,.37,1350,.91,1857,1.25,0,0,556,.37,0,0,556,.37,0,0,556,.37,1398,.94,1954,1.32
NC_027402.1,Salmonella phage SPN3US  complete genome,240413,177,.07,98,.04,177,.07,1105,.45,1086,.45,589,.24,668,.27,417,.17,545,.22,0,0,177,.07,0,0,177,.07,0,0,177,.07,0,0,177,.07,1154,.48,1159,.48,0,0,177,.07,98,.04,177,.07,98,.04,177,.07,931,.38,1108,.46
NC_027528.1,Human papillomavirus type 201 isolate HPV201  complete genome,7291,35,.48,0,0,35,.48,196,2.68,182,2.49,0,0,35,.48,49,.67,84,1.15,0,0,35,.48,0,0,35,.48,0,0,35,.48,0,0,35,.48,221,3.03,182,2.49,0,0,35,.48,0,0,35,.48,0,0,35,.48,49,.67,84,1.15
NC_027779.1,Human papillomavirus isolate SE379  complete genome,7320,72,.98,0,0,72,.98,345,4.71,343,4.68,295,4.03,318,4.34,172,2.34,244,3.33,0,0,72,.98,0,0,72,.98,0,0,72,.98,49,.66,121,1.65,345,4.71,343,4.68,0,0,72,.98,0,0,72,.98,0,0,72,.98,245,3.34,317,4.33
NC_028125.1,Human papillomavirus type 163 isolate KC3  complete genome,7233,0,0,0,0,0,0,172,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,2.03,0,0
NC_028129.1,Woolly monkey hepatitis B virus clone WMHBV-2  complete genome,3179,0,0,0,0,0,0,49,1.54,0,0,49,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.54,0,0
NC_028696.2,Salmonella phage SEN22  complete genome,41338,78,.18,0,0,78,.18,245,.59,323,.78,98,.23,176,.42,98,.23,176,.42,0,0,78,.18,0,0,78,.18,0,0,78,.18,0,0,78,.18,196,.47,274,.66,0,0,78,.18,0,0,78,.18,0,0,78,.18,294,.71,372,.89
NC_028698.1,Salmonella phage f18SE  complete genome,41868,0,0,0,0,0,0,221,.52,0,0,172,.41,0,0,172,.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,.64,0,0
NC_028699.1,Salmonella phage SEN34  complete genome,40740,36,.08,0,0,36,.08,196,.48,232,.56,0,0,36,.08,49,.12,85,.20,0,0,36,.08,0,0,36,.08,0,0,36,.08,0,0,36,.08,196,.48,232,.56,0,0,36,.08,0,0,36,.08,0,0,36,.08,221,.54,257,.63
NC_028701.2,Salmonella phage SEN5  complete genome,33509,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,343,1.02,383,1.14
NC_028752.1,Camel alphacoronavirus isolate camel Riyadh Ry141 2015  complete genome,27395,73,.26,0,0,73,.26,196,.71,269,.98,98,.35,171,.62,49,.17,122,.44,0,0,73,.26,0,0,73,.26,0,0,73,.26,0,0,73,.26,245,.89,269,.98,0,0,73,.26,0,0,73,.26,0,0,73,.26,294,1.07,367,1.33
NC_028754.1,Salmonella phage Shivani  complete genome,120098,311,.25,49,.04,360,.29,2605,2.16,2916,2.42,1103,.91,1414,1.17,882,.73,1193,.99,49,.04,360,.29,49,.04,360,.29,0,0,311,.25,0,0,311,.25,2605,2.16,2916,2.42,0,0,311,.25,49,.04,360,.29,49,.04,360,.29,1201,1.00,1512,1.25
NC_028806.1,Swine enteric coronavirus strain Italy 213306 2009  complete genome,28111,147,.52,0,0,147,.52,516,1.83,614,2.18,221,.78,368,1.30,270,.96,417,1.48,0,0,147,.52,0,0,147,.52,0,0,147,.52,0,0,147,.52,516,1.83,614,2.18,0,0,147,.52,0,0,147,.52,0,0,147,.52,196,.69,343,1.22
NC_029003.2,Salmonella phage SEN1  complete genome,29733,0,0,0,0,0,0,196,.65,0,0,0,0,0,0,49,.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,.49,0,0
NC_029015.2,Salmonella phage SEN4  complete genome,33509,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,0,0,40,.11,343,1.02,383,1.14
NC_029042.1,Salmonella phage 38  complete genome,156833,419,.26,49,.03,468,.29,1596,1.01,2015,1.28,760,.48,1179,.75,466,.29,885,.56,0,0,419,.26,49,.03,468,.29,0,0,419,.26,98,.06,517,.32,1596,1.01,2015,1.28,0,0,419,.26,49,.03,468,.29,49,.03,468,.29,1079,.68,1498,.95
NC_029045.1,Salmonella phage 37  complete genome,60216,47,.07,0,0,47,.07,172,.28,219,.36,172,.28,219,.36,123,.20,170,.28,0,0,47,.07,0,0,47,.07,0,0,47,.07,0,0,47,.07,172,.28,219,.36,0,0,47,.07,0,0,47,.07,0,0,47,.07,74,.12,121,.20
NC_029071.1,Salmonella phage 36  complete genome,41085,99,.24,49,.11,99,.24,564,1.37,614,1.49,147,.35,246,.59,147,.35,246,.59,0,0,99,.24,0,0,99,.24,0,0,99,.24,0,0,99,.24,515,1.25,614,1.49,0,0,99,.24,49,.11,99,.24,49,.11,99,.24,319,.77,418,1.01
NC_030292.1,Ferret coronavirus isolate FRCoV-NL-2010  complete genome,28434,18,.06,49,.17,67,.23,711,2.50,680,2.39,245,.86,263,.92,196,.68,214,.75,0,0,18,.06,98,.34,67,.23,0,0,18,.06,0,0,18,.06,711,2.50,680,2.39,0,0,18,.06,98,.34,67,.23,98,.34,67,.23,343,1.20,361,1.26
NC_030445.1,Bluegill hepatitis B virus  complete genome,3260,0,0,0,0,0,0,147,4.50,0,0,49,1.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,4.50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_030446.1,Tibetan frog hepatitis B virus isolate 243398  complete genome,3138,0,0,0,0,0,0,49,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_030791.1,Hepatitis C virus genotype 7  complete genome,9443,25,.26,49,.51,25,.26,49,.51,25,.26,49,.51,74,.78,49,.51,74,.78,49,.51,74,.78,98,1.03,74,.78,0,0,25,.26,0,0,25,.26,98,1.03,74,.78,0,0,25,.26,49,.51,25,.26,49,.51,25,.26,0,0,25,.26
NC_030886.1,Rousettus bat coronavirus isolate GCCDC1 356  complete genome,30161,32,.10,74,.24,32,.10,172,.57,130,.43,74,.24,32,.10,49,.16,32,.10,49,.16,32,.10,74,.24,32,.10,49,.16,32,.10,49,.16,32,.10,172,.57,130,.43,49,.16,32,.10,74,.24,32,.10,74,.24,32,.10,245,.81,228,.75
NC_030919.1,Salmonella phage 118970 sal4  complete genome,42418,95,.22,98,.23,193,.45,932,2.19,1027,2.42,245,.57,340,.80,294,.69,389,.91,98,.23,193,.45,98,.23,193,.45,0,0,95,.22,49,.11,144,.33,883,2.08,978,2.30,0,0,95,.22,98,.23,193,.45,98,.23,193,.45,441,1.03,536,1.26
NC_031021.1,Salmonella phage MA12  complete genome,41224,36,.08,0,0,36,.08,441,1.06,477,1.15,245,.59,281,.68,245,.59,281,.68,0,0,36,.08,0,0,36,.08,0,0,36,.08,0,0,36,.08,441,1.06,477,1.15,0,0,36,.08,0,0,36,.08,0,0,36,.08,270,.65,306,.74
NC_031026.1,Salmonella phage phSE-2  complete genome,49167,189,.38,0,0,189,.38,344,.69,459,.93,98,.19,287,.58,98,.19,287,.58,0,0,189,.38,0,0,189,.38,0,0,189,.38,0,0,189,.38,393,.79,508,1.03,0,0,189,.38,0,0,189,.38,0,0,189,.38,294,.59,434,.88
NC_031042.1,Salmonella phage NR01  complete genome,111325,155,.13,98,.08,253,.22,2060,1.85,2141,1.92,980,.88,1086,.97,784,.70,939,.84,0,0,155,.13,147,.13,302,.27,0,0,155,.13,49,.04,204,.18,2109,1.89,2190,1.96,0,0,155,.13,98,.08,253,.22,98,.08,253,.22,1201,1.07,1307,1.17
NC_031045.1,Salmonella phage GG32  complete genome,157855,298,.18,0,0,298,.18,1694,1.07,1942,1.23,980,.62,1229,.77,735,.46,984,.62,0,0,298,.18,0,0,298,.18,0,0,298,.18,147,.09,396,.25,1743,1.10,1991,1.26,0,0,298,.18,0,0,298,.18,0,0,298,.18,1276,.80,1500,.95
NC_031065.1,Salmonella phage vB SnwM CGG4-1  complete genome,159878,535,.33,49,.03,584,.36,3632,2.27,4069,2.54,932,.58,1418,.88,907,.56,1393,.87,0,0,535,.33,49,.03,584,.36,0,0,535,.33,49,.03,584,.36,3534,2.21,4020,2.51,0,0,535,.33,49,.03,584,.36,49,.03,584,.36,1546,.96,2007,1.25
NC_031128.1,Salmonella phage vB SalM PM10  complete genome,158081,294,.18,0,0,294,.18,1399,.88,1643,1.03,490,.30,784,.49,392,.24,686,.43,0,0,294,.18,0,0,294,.18,0,0,294,.18,98,.06,343,.21,1448,.91,1692,1.07,0,0,294,.18,0,0,294,.18,0,0,294,.18,1103,.69,1323,.83
NC_031129.1,Salmonella phage SJ46  complete genome,103445,246,.23,0,0,246,.23,736,.71,982,.94,294,.28,540,.52,368,.35,614,.59,0,0,246,.23,0,0,246,.23,0,0,246,.23,49,.04,295,.28,736,.71,982,.94,0,0,246,.23,0,0,246,.23,0,0,246,.23,785,.75,957,.92
