  ,biospecimen_repository_sample_id,BioSample,Body Site,Paired Raw R1 Read Count,hg38 unaligned Count,RMHM viral aligned Count,RMHM viral q30 l30 EBV Count,RMHM viral q30 l30 EBV Count,RMHM viral q30 l40 EBV Count,RMHM viral q30 l50 EBV Count,RMHM viral q30 l60 EBV Count,Human Virome EBV Count,RMHM viral q30 l30 CMV Count,RMHM viral q30 l40 CMV Count,RMHM viral q30 l50 CMV Count,RMHM viral q30 l60 CMV Count,Human Virome CMV Count,RMHM viral q30 l30 HSV1 Count,RMHM viral q30 l40 HSV1 Count,RMHM viral q30 l50 HSV1 Count,RMHM viral q30 l60 HSV1 Count,Human Virome HSV1 Count,RMHM viral q30 l30 HSV2 Count,RMHM viral q30 l40 HSV2 Count,RMHM viral q30 l50 HSV2 Count,RMHM viral q30 l60 HSV2 Count,Human Virome HSV2 Count
SRR1315949,GTEX-145LU-0011-R8b-SM-5PNZG,SAMN02789059,Brain - Hypothalamus,61188024,1124028,58138,,,,,,,,,,,,,,,,,,,,,
SRR1336481,GTEX-145LU-0011-R9b-SM-5SI66,SAMN02788943,Brain - Spinal cord (cervical c-1),46394573,938823,35857,18,18,18,18,18,23,,,,,,,,,,,,,,,
SRR1331841,GTEX-145LU-2626-SM-5LU9Z,SAMN02789244,Brain - Cerebellum,34470679,1101139,42852,,,,,,,,,,,,,,,,,,,,,
SRR1480988,GTEX-145MF-2726-SM-5O995,SAMN02789229,Brain - Cortex,43374454,761442,34638,,,,,,,,,,,,,,,,,,,,,
SRR1340508,GTEX-145MG-0011-R10a-SM-5PNWG,SAMN02788051,Brain - Frontal Cortex (BA9),145018970,2354726,107770,,,,,,,,,,,,,,,,,,,,,
SRR1477080,GTEX-145MG-0011-R3b-SM-5SI67,SAMN02787625,Brain - Anterior cingulate cortex (BA24),46417364,833181,33626,9,9,9,7,7,10,,,,,,,,,,,,,,,
SRR1343197,GTEX-145MG-0011-R5b-SM-5S2VU,SAMN02792142,Brain - Caudate (basal ganglia),39206860,598175,23069,,,,,,,,,,,,,,,,,,,,,
SRR1394713,GTEX-145MG-0011-R7b-SM-5P9JY,SAMN02793460,Brain - Putamen (basal ganglia),53915791,1172869,52840,,,,,,,,,,,,,,,,,,,,,
SRR1486097,GTEX-145MG-3026-SM-5RQJA,SAMN02790573,Brain - Cortex,35593668,872076,36043,,,,,,,,,,,,,,,,,,,,,
SRR1479802,GTEX-145MG-3126-SM-5Q5D3,SAMN02793545,Brain - Cerebellum,44073428,2715342,45077,1,1,1,1,1,2,,,,,,,,,,,,,,,
SRR1471943,GTEX-145MH-0011-R10b-SM-5PNUK,SAMN02788605,Brain - Frontal Cortex (BA9),44888161,819563,33867,,,,,,,,,,,,,,,,,,,,,
SRR1429891,GTEX-145MH-0011-R11a-SM-5P9HQ,SAMN02793616,Brain - Cerebellar Hemisphere,61406625,1693681,78130,,,,,,,,,,,,,,,,,,,,,
SRR1476676,GTEX-145MH-0011-R1b-SM-5PNWY,SAMN02791310,Brain - Hippocampus,55180457,1231462,57301,,,,,,,,,,,,,,,,,,,,,
SRR1500753,GTEX-145MH-0011-R3b-SM-5P9JQ,SAMN02793008,Brain - Anterior cingulate cortex (BA24),52595962,1085298,57277,,,,,,,,,,,,,,,,,,,,,
SRR1487107,GTEX-145MH-0011-R5a-SM-5P9JT,SAMN02791794,Brain - Caudate (basal ganglia),57863224,1273079,65085,,,,,,,,,,,,,,,,,,,,,
SRR1340700,GTEX-145MH-0011-R6a-SM-5PNZ7,SAMN02789686,Brain - Nucleus accumbens (basal ganglia),100677272,2138781,92611,,,,,,,,,,,,,,,,,,,,,
SRR1331466,GTEX-145MH-0011-R7a-SM-5PNWH,SAMN02789834,Brain - Putamen (basal ganglia),48919131,844845,37822,,,,,,,,,,,,,,,,,,,,,
SRR1471773,GTEX-145MH-0011-R8a-SM-5PNUL,SAMN02790950,Brain - Hypothalamus,33823351,668947,25457,,,,,,,,,,,,,,,,,,,,,
SRR1374246,GTEX-145MH-2926-SM-5Q5D2,SAMN02790632,Brain - Cerebellum,49154555,1446273,45792,2,2,2,2,2,1,,,,,,,,,,,,,,,
SRR1459441,GTEX-145MH-3026-SM-5Q5DZ,SAMN02788847,Brain - Cortex,50717996,843446,41319,1,1,1,1,1,1,,,,,,,,,,,,,,,
SRR1498550,GTEX-145MI-0011-R10a-SM-5PNZD,SAMN02787253,Brain - Frontal Cortex (BA9),50210832,1321484,48799,,,,,,,,,,,,,,,,,,,,,
SRR1479912,GTEX-145MI-0011-R11a-SM-5P9JZ,SAMN02793241,Brain - Cerebellar Hemisphere,57316019,2085802,85733,,,,,,,,,,,,,,,,,,,,,
SRR1315019,GTEX-145MI-0011-R3b-SM-5PNWK,SAMN02792683,Brain - Anterior cingulate cortex (BA24),35166489,671985,24369,,,,,,,,,,,,,,,,,,,,,
SRR1319816,GTEX-145MI-0011-R4b-SM-5PNZH,SAMN02790998,Brain - Amygdala,52874357,1189351,50674,,,,,,,,,,,,,,,,,,,,,
SRR1445238,GTEX-145MI-0011-R5a-SM-5Q5B4,SAMN02787848,Brain - Caudate (basal ganglia),32480643,578250,15012,,,,,,,,,,,,,,,,,,,,,
SRR1470111,GTEX-145MI-0011-R6a-SM-5PNZA,SAMN02793519,Brain - Nucleus accumbens (basal ganglia),46331813,883256,37403,,,,,,,,,,,,,,,,,,,,,
SRR1382869,GTEX-145MI-0011-R7b-SM-5Q5AZ,SAMN02793587,Brain - Putamen (basal ganglia),42297041,605541,17507,3,3,3,3,3,5,,,,,,,,,,,,,,,
SRR1455677,GTEX-145MI-0011-R8b-SM-5PNZ9,SAMN02791519,Brain - Hypothalamus,48194062,1164184,46439,,,,,,,,,,,,,,,,,,,,,
SRR1446071,GTEX-145MI-3126-SM-5Q5CF,SAMN02789874,Brain - Cerebellum,37455235,1254123,37272,1,1,1,1,1,3,,,,,,,,,,,,,,,
SRR1457503,GTEX-14753-0011-R10b-SM-5S2WE,SAMN02789195,Brain - Frontal Cortex (BA9),43553489,826551,28398,,,,,,,,,,,,,,,,,,,,,
SRR1418604,GTEX-14753-0011-R5a-SM-5S2VW,SAMN02788211,Brain - Caudate (basal ganglia),41878704,633944,24069,,,,,,,,,,,,,,,,,,,,,
SRR1336887,GTEX-14753-0011-R6b-SM-5S2UD,SAMN02792148,Brain - Nucleus accumbens (basal ganglia),52809356,989537,36861,,,,,,,,,,,,,,,,,,,,,
SRR1486496,GTEX-14753-0011-R8b-SM-5S2U1,SAMN02787919,Brain - Hypothalamus,48430156,921026,30065,,,,,,,,,,,,,,,,,,,,,
SRR1381673,GTEX-1477Z-0011-R10b-SM-5S2RF,SAMN02789445,Brain - Frontal Cortex (BA9),28381039,585498,15261,2,2,2,1,1,2,,,,,,,,,,,,,,,
SRR1486475,GTEX-1477Z-0011-R3b-SM-5PNX9,SAMN02789804,Brain - Anterior cingulate cortex (BA24),53553097,970061,43295,,,,,,,,,,,,,,,,,,,,,
SRR1331289,GTEX-1477Z-0011-R5b-SM-5PNUO,SAMN02790641,Brain - Caudate (basal ganglia),42669030,674534,25460,,,,,,,,,,,,,,,,,,,,,
SRR1320963,GTEX-147F4-0011-R10b-SM-5S2WC,SAMN02792138,Brain - Frontal Cortex (BA9),42254492,740826,30346,,,,,,,,,,,,,,,,,,,,,
SRR1323764,GTEX-147F4-0011-R6b-SM-5S2UP,SAMN02787540,Brain - Nucleus accumbens (basal ganglia),46975127,826688,31587,,,,,,,,,,,,,,,,,,,,,
SRR1359649,GTEX-147F4-0011-R8b-SM-5S2UN,SAMN02793402,Brain - Hypothalamus,47488228,730912,32018,,,,,,,,,,,,,,,,,,,,,
SRR1465132,GTEX-147F4-3026-SM-5Q5BJ,SAMN02788281,Brain - Cerebellum,40365179,1007389,29432,,,,,,,,,,,,,,,,,,,,,
SRR1435020,GTEX-147GR-0011-R10b-SM-5S2UM,SAMN02788967,Brain - Frontal Cortex (BA9),52971274,912582,39476,,,,,,,,,,,,,,,,,,,,,
SRR1473654,GTEX-147GR-0011-R2b-SM-5S2RQ,SAMN02789044,Brain - Substantia nigra,30286446,671147,19703,5,5,5,5,5,6,,,,,,,,,,,,,,,
SRR1320892,GTEX-147GR-0011-R4a-SM-5S2V2,SAMN02788638,Brain - Amygdala,47595808,957671,38078,,,,,,,,,,,,,,,,,,,,,
SRR1400997,GTEX-147GR-0011-R6b-SM-5S2RO,SAMN02789077,Brain - Nucleus accumbens (basal ganglia),29742627,596972,19214,3,3,3,3,3,13,,,,,,,,,,,,,,,
SRR1409534,GTEX-147GR-0011-R7a-SM-5S2RP,SAMN02790650,Brain - Putamen (basal ganglia),30900440,695645,19905,2,2,2,2,1,9,,,,,,,,,,,,,,,
SRR1333694,GTEX-147GR-0011-R9a-SM-5S2UY,SAMN02787217,Brain - Spinal cord (cervical c-1),37773996,724059,28785,,,,,,,,,,,,,,,,,,,,,
SRR1315269,GTEX-147GR-3026-SM-5S2ML,SAMN02791047,Brain - Cortex,39780728,940795,25748,7,7,7,7,7,17,,,,,,,,,,,,,,,
SRR1421375,GTEX-148VJ-0011-R9b-SM-5SI77,SAMN02787791,Brain - Spinal cord (cervical c-1),44475520,928349,34101,6,6,6,6,6,13,,,,,,,,,,,,,,,
SRR1436444,GTEX-14A5I-2826-SM-5SIBF,SAMN02790029,Brain - Cerebellum,42216209,892468,34407,,,,,,,,,,,,,,,,,,,,,
SRR1331335,GTEX-14A5I-2926-SM-5Q5CQ,SAMN02792348,Brain - Cortex,43347528,841084,33621,,,,,,1,,,,,,,,,,,,,,,
SRR1366057,GTEX-14ABY-0011-R11a-SM-5SI7C,SAMN02792004,Brain - Cerebellar Hemisphere,43138102,1009623,39218,119,119,118,117,117,230,,,,,,,,,,,,,,,
SRR1359123,GTEX-14ABY-0011-R4b-SM-5S2VN,SAMN02792290,Brain - Amygdala,47556647,854033,34057,,,,,,,,,,,,,,,,,,,,,
SRR1475257,GTEX-14ABY-0011-R5b-SM-5SI7B,SAMN02792848,Brain - Caudate (basal ganglia),40856715,740355,29978,7,7,7,7,7,11,,,,,,,,,,,,,,,
SRR1359388,GTEX-14ABY-0011-R6a-SM-5PNWR,SAMN02793689,Brain - Nucleus accumbens (basal ganglia),42361124,826417,31166,,,,,,,,,,,,,,,,,,,,,
SRR1466069,GTEX-14ABY-0011-R7b-SM-5PNWS,SAMN02792446,Brain - Putamen (basal ganglia),41516464,856523,29038,,,,,,,,,,,,,,,,,,,,,
SRR1321966,GTEX-14ABY-0011-R9a-SM-5PNZK,SAMN02788135,Brain - Spinal cord (cervical c-1),70532762,1440158,69304,,,,,,,,,,,,,,,,,,,,,
SRR1315970,GTEX-14ASI-0011-R10b-SM-5S2VZ,SAMN02790409,Brain - Frontal Cortex (BA9),41217673,779467,33002,,,,,,,,,,,,,,,,,,,,,
SRR1319158,GTEX-14ASI-0011-R1b-SM-5S2TY,SAMN02787591,Brain - Hippocampus,42706276,772366,32026,,,,,,,,,,,,,,,,,,,,,
SRR1335254,GTEX-14ASI-0011-R6a-SM-5S2UZ,SAMN02792458,Brain - Nucleus accumbens (basal ganglia),42281987,774593,31722,,,,,,,,,,,,,,,,,,,,,
SRR1334717,GTEX-14ASI-0011-R8b-SM-5S2UB,SAMN02793451,Brain - Hypothalamus,49354028,926012,39424,,,,,,,,,,,,,,,,,,,,,
SRR1394450,GTEX-14ASI-2926-SM-5Q5DG,SAMN02790841,Brain - Cerebellum,50020096,1232258,48836,5,5,5,5,5,4,,,,,,,,,,,,,,,
SRR1416434,GTEX-14ASI-3026-SM-5S2PN,SAMN02792052,Brain - Cortex,35784023,754246,21773,7,7,7,7,7,9,,,,,,,,,,,,,,,
SRR1356619,GTEX-14BIL-0011-R10a-SM-5SI75,SAMN02789745,Brain - Frontal Cortex (BA9),43116728,756262,33352,8,8,8,8,8,20,,,,,,,,,,,,,,,
SRR1458595,GTEX-14BIL-0011-R9a-SM-5SI7A,SAMN02789570,Brain - Spinal cord (cervical c-1),44341813,835686,34697,78,78,77,77,76,176,,,,,,,,,,,,,,,
SRR1476632,GTEX-14BIM-0011-R11b-SM-5S2RN,SAMN02790897,Brain - Cerebellar Hemisphere,29816192,861922,22297,5,5,5,5,5,5,,,,,,,,,,,,,,,
SRR1452379,GTEX-14BIM-0011-R3b-SM-5S2RL,SAMN02789871,Brain - Anterior cingulate cortex (BA24),27561204,546958,16810,1,1,1,1,1,2,,,,,,,,,,,,,,,
SRR1456294,GTEX-14BIM-0011-R4b-SM-5S2RK,SAMN02790000,Brain - Amygdala,29329437,615014,17175,,,,,,5,,,,,,,,,,,,,,,
SRR1361757,GTEX-14BIM-0011-R5b-SM-5S2RM,SAMN02792414,Brain - Caudate (basal ganglia),30227551,684167,19027,5,5,5,5,5,6,,,,,,,,,,,,,,,
SRR1381566,GTEX-14BIM-0011-R6b-SM-5S2VB,SAMN02791864,Brain - Nucleus accumbens (basal ganglia),48198990,895609,36428,,,,,,,,,,,,,,,,,,,,,
SRR1472193,GTEX-14BIM-3126-SM-5Q5C7,SAMN02791158,Brain - Cerebellum,46735167,1299068,35956,1,1,1,1,1,5,,,,,,,,,,,,,,,
SRR1360563,GTEX-14BIN-0011-R10a-SM-5S2UA,SAMN02791888,Brain - Frontal Cortex (BA9),51367995,877606,37422,,,,,,,,,,,,,,,,,,,,,
SRR1317808,GTEX-14BIN-0011-R11a-SM-5SI79,SAMN02787762,Brain - Cerebellar Hemisphere,40794556,1066360,35931,9,9,9,9,8,15,,,,,,,,,,,,,,,
SRR1315145,GTEX-14BIN-0011-R2a-SM-5S2RJ,SAMN02793640,Brain - Substantia nigra,33363156,812872,18012,2,2,2,2,2,5,,,,,,,,,,,,,,,
SRR1339549,GTEX-14BIN-0011-R5b-SM-5SI78,SAMN02788627,Brain - Caudate (basal ganglia),41915404,751282,28624,8,8,8,8,8,13,,,,,,,,,,,,,,,
SRR1485892,GTEX-14BIN-0011-R6a-SM-5S2RH,SAMN02791482,Brain - Nucleus accumbens (basal ganglia),68133462,1454032,43045,7,7,6,6,6,11,,,,,,,,,,,,,,,
SRR1479759,GTEX-14BIN-0011-R7b-SM-5S2RI,SAMN02791313,Brain - Putamen (basal ganglia),34638254,604058,18696,9,9,9,9,9,15,,,,,,,,,,,,,,,
SRR1362777,GTEX-14BIN-0011-R9a-SM-5SI76,SAMN02790335,Brain - Spinal cord (cervical c-1),42045078,813885,30845,4,4,4,4,4,13,,,,,,,,,,,,,,,
SRR1384234,GTEX-14BIN-3326-SM-5Q5E6,SAMN02793133,Brain - Cerebellum,51374585,1191028,49403,3,3,3,3,3,4,,,,,,,,,,,,,,,
SRR1391769,GTEX-14BMV-3026-SM-5S2PQ,SAMN02793755,Brain - Cortex,34086396,607685,19811,5,5,5,5,5,5,,,,,,,,,,,,,,,
SRR1477971,GTEX-14C5O-2926-SM-5RQI1,SAMN02789703,Brain - Cerebellum,38880125,1329790,46005,,,,,,,,,,,,,,,,,,,,,
SRR1442356,GTEX-14DAQ-3026-SM-5S2QZ,SAMN02788385,Brain - Cerebellum,28334626,856374,21267,3,3,3,3,3,13,,,,,,,,,,,,,,,
SRR1477385,GTEX-14E7W-2926-SM-5S2R8,SAMN02791091,Brain - Cerebellum,28271387,780039,21749,1,1,1,1,1,4,,,,,,,,,,,,,,,
SRR595926,GTEX-N7MS-0011-R10A-SM-2HMJK,SAMN00992472,Brain - Frontal Cortex (BA9),61783980,2149323,183647,,,,,,,,,,,,,,,,,,,,,
SRR604098,GTEX-N7MS-0011-R11A-SM-2HMJS,SAMN00992533,Brain - Cerebellar Hemisphere,59171879,2311236,207701,,,,,,,,,,,,,,,,,,,,,
SRR608456,GTEX-N7MS-0011-R1a-SM-2HMJG,SAMN00992592,Brain - Hippocampus,56114792,2965023,709446,,,,,,,,,,,,,,,,,,,,,
SRR604050,GTEX-N7MS-0011-R2a-SM-2HML6,SAMN00992915,Brain - Substantia nigra,53862430,3542759,1168625,,,,,,,,,,,,,,,,,,,,,
SRR607775,GTEX-N7MS-0011-R3a-SM-2HMKD,SAMN00992524,Brain - Anterior cingulate cortex (BA24),180399016,21535141,11382097,,,,,,,,,,,,,,,,,,,,,
SRR820623,GTEX-N7MS-0011-R3a-SM-33HC6,SAMN01887346,Brain - Anterior cingulate cortex (BA24),101951408,3311320,407631,,,,,,,,,,,,,,,,,,,,,
SRR1323106,GTEX-N7MS-0011-R3a-SM-5SI8H,SAMN02790377,Brain - Anterior cingulate cortex (BA24),48135212,866930,37102,12,12,12,12,12,19,,,,,,,,,,,,,,,
SRR603068,GTEX-N7MS-0011-R4a-SM-2HMKW,SAMN00992992,Brain - Amygdala,53339811,2778621,771341,,,,,,,,,,,,,,,,,,,,,
SRR608174,GTEX-N7MS-0011-R5a-SM-2HMK8,SAMN00993092,Brain - Caudate (basal ganglia),68134292,2240516,177362,,,,,,,,,,,,,,,,,,,,,
SRR600560,GTEX-N7MS-0011-R6a-SM-2HMJ4,SAMN00992795,Brain - Nucleus accumbens (basal ganglia),55141646,1819199,181471,,,,,,,,,,,,,,,,,,,,,
SRR598276,GTEX-N7MS-0011-R7a-SM-2HMKN,SAMN00992447,Brain - Putamen (basal ganglia),46537556,2581213,580576,,,,,,,,,,,,,,,,,,,,,
SRR614443,GTEX-N7MS-0011-R8a-SM-2YUMK,SAMN01773143,Brain - Hypothalamus,42879280,1964168,698556,,,,,,,2,2,2,2,,,,,,,,,,,
SRR627425,GTEX-N7MS-2425-SM-26GMD,SAMN01801833,Brain - Cortex,32499997,1265930,144733,,,,,,,,,,,,,,,,,,,,,
SRR627455,GTEX-N7MS-2425-SM-26GMU,SAMN01801826,Brain - Cortex,43462132,1532478,138241,,,,,,,,,,,,,,,,,,,,,
SRR627433,GTEX-N7MS-2526-SM-26GMA,SAMN01801815,Brain - Cerebellum,29653186,1452580,148625,,,,,,,,,,,,,,,,,,,,,
SRR627451,GTEX-N7MS-2526-SM-26GMR,SAMN01801820,Brain - Cerebellum,34475292,1332338,106217,,,,,,,,,,,,,,,,,,,,,
SRR607311,GTEX-N7MS-2526-SM-2D7W3,SAMN00992742,Brain - Cerebellum,31684729,2065844,650518,,,,,,,,,,,,,,,,,,,,,
SRR600361,GTEX-N7MT-0011-R10A-SM-2I3E1,SAMN00992531,Brain - Frontal Cortex (BA9),44704825,1759479,169575,,,,,,,,,,,,,,,,,,,,,
SRR600754,GTEX-N7MT-0011-R11A-SM-2I3DZ,SAMN00992496,Brain - Cerebellar Hemisphere,43414514,1157721,246694,,,,,,,,,,,,,,,,,,,,,
SRR1498616,GTEX-N7MT-0011-R1a-SM-5SI7S,SAMN02793358,Brain - Hippocampus,42047990,752093,31096,3,3,3,3,3,7,,,,,,,,,,,,,,,
SRR599486,GTEX-N7MT-0011-R2a-SM-2I3GI,SAMN00993029,Brain - Substantia nigra,38401715,2595763,871696,,,,,,,,,,,,,,,,,,,,,
SRR602365,GTEX-N7MT-0011-R3a-SM-2I3GC,SAMN00992611,Brain - Anterior cingulate cortex (BA24),47207772,2465485,1032454,,,,,,,,,,,,,,,,,,,,,
SRR598671,GTEX-N7MT-0011-R4a-SM-2I3G9,SAMN00992948,Brain - Amygdala,45163430,2593516,794953,,,,,,,,,,,,,,,,,,,,,
SRR599192,GTEX-N7MT-0011-R5a-SM-2I3G6,SAMN00992420,Brain - Caudate (basal ganglia),85037542,7977726,3127940,,,,,,,,,,,,,,,,,,,,,
SRR598196,GTEX-N7MT-0011-R6a-SM-2I3G3,SAMN00992917,Brain - Nucleus accumbens (basal ganglia),51456351,1215142,153165,,,,,,,,,,,,,,,,,,,,,
SRR601287,GTEX-N7MT-0011-R7a-SM-2I3FZ,SAMN00993065,Brain - Putamen (basal ganglia),54246234,1686172,331226,,,,,,,,,,,,,,,,,,,,,
SRR608230,GTEX-N7MT-0011-R8a-SM-2I5GU,SAMN00992772,Brain - Hypothalamus,101935122,9462020,4341363,,,,,,,,,,,,,,,,,,,,,
SRR612575,GTEX-N7MT-1126-SM-2YUNQ,SAMN01772427,Brain - Cortex,55072754,15790519,7579341,,,,,,,2,2,2,1,,,,,,,,,,,
SRR1382732,GTEX-N7MT-1126-SM-5SI7V,SAMN02787587,Brain - Cortex,35666743,853696,27500,3,3,3,3,3,6,,,,,,,,,,,,,,,
SRR627299,GTEX-N7MT-1226-SM-26GMC,SAMN01801822,Brain - Cerebellum,30936005,1443709,153575,,,,,,,,,,,,,,,,,,,,,
SRR627429,GTEX-N7MT-1226-SM-26GMT,SAMN01801816,Brain - Cerebellum,39665115,1486179,122593,,,,,,,,,,,,,,,,,,,,,
SRR607967,GTEX-N7MT-1226-SM-2D7W4,SAMN00992512,Brain - Cerebellum,32450679,835555,73821,,,,,,,,,,,,,,,,,,,,,
SRR615249,GTEX-N7MT-1226-SM-2TC6K,SAMN01772878,Brain - Cerebellum,53698904,4298648,1301856,,,,,,,,,,,,,,,,,,,,,
SRR602516,GTEX-NL3H-0011-R10A-SM-2I3E9,SAMN00992674,Brain - Frontal Cortex (BA9),50938455,1073993,133548,,,,,,,,,,,,,,,,,,,,,
SRR603596,GTEX-NL3H-0011-R11A-SM-2I3E6,SAMN00992893,Brain - Cerebellar Hemisphere,46618216,2697848,1107404,,,,,,,,,,,,,,,,,,,,,
SRR1097978,GTEX-NL3H-0011-R1a-SM-48TDJ,SAMN02465126,Brain - Hippocampus,33956052,837616,21741,,,,,,,,,,,,,,,,,,,,,
SRR601787,GTEX-NL3H-0011-R2a-SM-2I3GG,SAMN00992870,Brain - Substantia nigra,108403745,17633090,6563186,,,,,,,,,,,,,,,,,,,,,
SRR600608,GTEX-NL3H-0011-R3a-SM-2I3GL,SAMN00992575,Brain - Anterior cingulate cortex (BA24),59548920,1303768,204827,,,,,,,,,,,,,,,,,,,,,
SRR599448,GTEX-NL3H-0011-R4a-SM-2I3GK,SAMN00992868,Brain - Amygdala,46673323,3889259,1601774,,,,,,,,,,,,,,,,,,,,,
SRR598638,GTEX-NL3H-0011-R5a-SM-2I3GB,SAMN00992558,Brain - Caudate (basal ganglia),52820471,1666641,419350,,,,,,,,,,,,,,,,,,,,,
SRR597927,GTEX-NL3H-0011-R6a-SM-2I3G8,SAMN00992543,Brain - Nucleus accumbens (basal ganglia),53645586,1483685,357317,,,,,,,,,,,,,,,,,,,,,
SRR600533,GTEX-NL3H-0011-R7a-SM-2I3G5,SAMN00992522,Brain - Putamen (basal ganglia),76916484,5982587,2474976,,,,,,,,,,,,,,,,,,,,,
SRR1389059,GTEX-NL3H-0011-R8a-SM-5S2VF,SAMN02789567,Brain - Hypothalamus,55533149,900450,38323,,,,,,,,,,,,,,,,,,,,,
SRR604456,GTEX-NL4W-0011-R10A-SM-2I3DY,SAMN00992933,Brain - Frontal Cortex (BA9),44193493,835189,92381,,,,,,,,,,,,,,,,,,,,,
SRR607887,GTEX-NL4W-0011-R11A-SM-2I3DW,SAMN00992730,Brain - Cerebellar Hemisphere,50042313,1790412,291213,,,,,,,,,,,,,,,,,,,,,
SRR597977,GTEX-NL4W-0011-R2a-SM-2I5GV,SAMN00992853,Brain - Substantia nigra,58796673,6079985,3296094,,,,,,,,,,,,,,,,,,,,,
SRR603534,GTEX-NL4W-0011-R4a-SM-2I5GZ,SAMN00992620,Brain - Amygdala,65019520,2154824,594630,,,,,,,,,,,,,,,,,,,,,
SRR602622,GTEX-NL4W-0011-R5a-SM-2I3GD,SAMN00992469,Brain - Caudate (basal ganglia),49047276,1504854,516800,,,,,,,,,,,,,,,,,,,,,
SRR601122,GTEX-NL4W-0011-R6a-SM-2I3GA,SAMN00992502,Brain - Nucleus accumbens (basal ganglia),63593923,1550258,230958,,,,,,,,,,,,,,,,,,,,,
SRR602193,GTEX-NL4W-0011-R8a-SM-2I3G4,SAMN00993033,Brain - Hypothalamus,50117973,1627231,476742,,,,,,,,,,,,,,,,,,,,,
SRR602871,GTEX-NL4W-0011-R9a-SM-2I3G1,SAMN00992586,Brain - Spinal cord (cervical c-1),50861630,1715260,201385,,,,,,,,,,,,,,,,,,,,,
SRR602314,GTEX-NPJ7-0011-R10A-SM-2I3E5,SAMN00992839,Brain - Frontal Cortex (BA9),48293406,1357051,317967,,,,,,,,,,,,,,,,,,,,,
SRR600957,GTEX-NPJ7-0011-R11A-SM-2I3E8,SAMN00992869,Brain - Cerebellar Hemisphere,55844316,1753228,247610,,,,,,,,,,,,,,,,,,,,,
SRR817758,GTEX-NPJ7-0011-R1a-SM-3GACT,SAMN01887515,Brain - Hippocampus,52137317,3533361,2004051,,,,,,,,,,,,,,,,,,,,,
SRR603397,GTEX-NPJ7-0011-R2a-SM-2I3GF,SAMN00992460,Brain - Substantia nigra,48573187,2958810,628682,,,,,,,,,,,,,,,,,,,,,
SRR607478,GTEX-NPJ7-0011-R4a-SM-2I3GJ,SAMN00992744,Brain - Amygdala,54364880,1388647,329823,,,,,,,,,,,,,,,,,,,,,
SRR607406,GTEX-NPJ7-0011-R5a-SM-2I5GY,SAMN00992439,Brain - Caudate (basal ganglia),92955826,14008260,5894322,,,,,,,,,,,,,,,,,,,,,
SRR819946,GTEX-NPJ7-0011-R5a-SM-33HBK,SAMN01887132,Brain - Caudate (basal ganglia),102519913,2986186,389345,,,,,,,,,,,,,,,,,,,,,
SRR600348,GTEX-NPJ7-0011-R6a-SM-2I3G7,SAMN00992960,Brain - Nucleus accumbens (basal ganglia),51876180,1205537,185779,,,,,,,,,,,,,,,,,,,,,
SRR608574,GTEX-NPJ7-0011-R8a-SM-2I3G2,SAMN00993109,Brain - Hypothalamus,45250740,1934276,541899,,,,,,,,,,,,,,,,,,,,,
SRR615731,GTEX-NPJ7-0011-R9a-SM-2TC5R,SAMN01772464,Brain - Spinal cord (cervical c-1),37161656,10295988,4327412,,,,,,,,,,,,,,,,,,,,,
SRR604026,GTEX-NPJ7-2726-SM-2I3FT,SAMN00993063,Brain - Cortex,45780084,2502941,735503,,,,,,,,,,,,,,,,,,,,,
SRR601098,GTEX-NPJ7-2826-SM-2I3FU,SAMN00992879,Brain - Cerebellum,55040562,1752375,410889,,,,,,,,,,,,,,,,,,,,,
SRR613627,GTEX-NPJ8-0011-R10A-SM-2YUMO,SAMN01772304,Brain - Frontal Cortex (BA9),50794464,4842115,2452635,,,,,,,,,,,,,,,,,,,,,
SRR615599,GTEX-NPJ8-0011-R11A-SM-2YUMS,SAMN01772623,Brain - Cerebellar Hemisphere,51581371,6908231,2407967,,,,,,,,,,,,,,,,,,,,,
SRR600724,GTEX-NPJ8-0011-R1a-SM-2HMLC,SAMN00992738,Brain - Hippocampus,104532840,18516855,10250297,,,,,,,,,,,,,,,,,,,,,
SRR821690,GTEX-NPJ8-0011-R1a-SM-33HCB,SAMN01887030,Brain - Hippocampus,94446403,6819298,1088622,,,,,,,,,,,,,,,,,,,,,
SRR1472770,GTEX-NPJ8-0011-R1a-SM-5SI8B,SAMN02790378,Brain - Hippocampus,50373167,894371,35462,7,7,7,7,7,15,,,,,,,,,,,,,,,
SRR615467,GTEX-NPJ8-0011-R2a-SM-2TC6M,SAMN01772368,Brain - Substantia nigra,52910977,2341983,489143,,,,,,,,,,,,,,,,,,,,,
SRR607091,GTEX-NPJ8-0011-R3a-SM-2HMIW,SAMN00992713,Brain - Anterior cingulate cortex (BA24),84640025,5881947,1370639,,,,,,,,,,,,,,,,,,,,,
SRR598124,GTEX-NPJ8-0011-R4a-SM-2HML3,SAMN00992418,Brain - Amygdala,55608656,3210967,1080332,,,,,,,,,,,,,,,,,,,,,
SRR604366,GTEX-NPJ8-0011-R5a-SM-2HMJY,SAMN00992564,Brain - Caudate (basal ganglia),57264005,2731622,506463,,,,,,,,,,,,,,,,,,,,,
